Index,Reference.Paper,Year,Country,Type,Depth,Surface.Area,Flow,Hydraulic.Residence.Time..tau.,L_in_TN,L_out_TN,k_TN_PFR,k_TN_CSTR,L_in_NO3,L_out_NO3,k_NO3_PFR,k_NO3_CSTR,L_in_TP,L_out_TP,k_TP_PFR,k_TP_CSTR,L_in_PO4,L_out_PO4,k_PO4_PFR,k_PO4_CSTR
373,van Oostrom,1995,New Zealand,CWSF,0.4,2.88,60.068571428571424,7,3.2420571428571424E-2,2.4356571428571425E-2,4.085592213912477E-2,4.7297297297297272E-2,1.9913142857142855E-2,1.6292571428571427E-2,2.8667242208878729E-2,3.1746031746031744E-2,NA,NA,NA,NA,NA,NA,NA,NA
374,Ghosh and Gopal,2010,India,CWUF,0.61,1.6264000000000001,109.5,1,NA,NA,0.24666809636116685,0.27975428717686213,NA,NA,0.31814127993648944,0.37457044673539519,NA,NA,NA,NA,NA,NA,0.12341134491523476,0.13134970019232939
375,Ghosh and Gopal,2010,India,CWUF,0.61,1.6264000000000001,54.75,2,NA,NA,0.50612556151003318,0.8758943313153551,NA,NA,0.6824621676918492,1.4577133907595932,NA,NA,NA,NA,NA,NA,0.1185578544405466,0.13379389022689825
376,Ghosh and Gopal,2010,India,CWUF,0.61,1.6264000000000001,36.5,3,NA,NA,0.42467922625807436,0.85841973543081895,NA,NA,0.84821888473125806,3.9129511677282367,NA,NA,NA,NA,NA,NA,0.38085472539909748,0.71159874608150497
377,Ghosh and Gopal,2010,India,CWUF,0.61,1.6264000000000001,27.375,4,NA,NA,0.45798916474486701,1.3115240474703309,NA,NA,0.85894720660794355,7.5139751552795015,NA,NA,NA,NA,NA,NA,0.15404653485595424,0.21296296296296291
378,DeBusk et al,2004,USA,CWUF,0.15,13.2,903.37499999999989,0.8,NA,NA,NA,NA,NA,NA,NA,NA,4.4549999999999992E-8,2.4750000000000003E-8,0.73473333112764838,0.99999999999999911,NA,NA,NA,NA
379,Sanchez-Carrillo and Alvarez-Cobelas,2000,Spain,NWSF,0.91,17000000000,3400000.0000000005,365,2441945.2054794519,1729342.4657534244,9.4535254354918559E-4,1.1289471645348262E-3,NA,NA,NA,NA,590575.34246575343,95479.452054794514,4.9922908379692139E-3,1.4206481790845306E-2,NA,NA,NA,NA
380,Sanchez-Carrillo and Alvarez-Cobelas,2000,Spain,NWSF,0.91,17000000000,90500000,423.4,5784191.7808219176,4100958.9041095888,8.1225275393889001E-4,9.6941097955841103E-4,NA,NA,NA,NA,1197917.8082191781,935232.87671232875,5.8465896208287728E-4,6.6338331134601887E-4,NA,NA,NA,NA
381,Sanchez-Carrillo and Alvarez-Cobelas,2000,Spain,NWSF,0.91,17000000000,57850000,379.6,5411123.2876712326,4632383.5616438352,4.093391972544627E-4,4.42855063284836E-4,NA,NA,NA,NA,1389808.219178082,1177890.4109589041,4.3582906916144924E-4,4.7395418623420336E-4,NA,NA,NA,NA
382,Ansola et al,2003,Spain,CWSF,NA,3.3,NA,1.6,NA,NA,1.947650398101884,13.475877192982459,NA,NA,NA,NA,NA,NA,1.5621909057557204,6.985294117647066,NA,NA,NA,NA
383,Ansola et al,2003,Spain,CWUF,NA,3.3,NA,0.5,NA,NA,2.5078601134859886,5.0081743869209809,NA,NA,NA,NA,NA,NA,1.851999092002232,3.0487804878048781,NA,NA,NA,NA
384,Luederitz et al,2001,Germany,CWSF,0.8,300,2190,40,0.49500000000000005,0.15539999999999998,2.8963883115878587E-2,5.463320463320466E-2,NA,NA,NA,NA,9.2999999999999999E-2,4.1999999999999997E-3,7.7437874196598339E-2,0.52857142857142858,NA,NA,NA,NA
385,Luederitz et al,2001,Germany,CWSF,0.95,800,12775,21.714285714285715,4.4204999999999997,2.2995000000000001,3.0098208730665547E-2,4.2477769766882952E-2,NA,NA,NA,NA,0.54249999999999998,0.2135,4.2946439271194389E-2,7.0966350301984477E-2,NA,NA,NA,NA
