Index,Reference.Paper,Year,Country,Type,Depth,Surface.Area,Flow,Hydraulic.Residence.Time..tau.,L_in_TN,L_out_TN,k_TN_PFR,k_TN_CSTR,L_in_NO3,L_out_NO3,k_NO3_PFR,k_NO3_CSTR,L_in_TP,L_out_TP,k_TP_PFR,k_TP_CSTR,L_in_PO4,L_out_PO4,k_PO4_PFR,k_PO4_CSTR
1,Seitzinger,2006,Canada,Lake,8.5,523500,832365,1951.2578616352203,2.2230821917808221,0.59521232876712327,6.7532421808068474E-4,1.4016290787646965E-3,1.5507073972602738,0.20067978082191781,1.0479168457921656E-3,3.4476595121236543E-3,NA,NA,NA,NA,NA,NA,NA,NA
2,Seitzinger,2006,Canada,Lake,8.9,344099.99999999994,1517480.9999999998,736.62131519274374,1.4612465753424653,0.39123698630136977,1.7888861786979342E-3,3.7128164806370305E-3,2.8270878904109584,0.36585843287671233,2.7758577460617155E-3,9.132606657618194E-3,NA,NA,NA,NA,NA,NA,NA,NA
3,Seitzinger,2006,Canada,Lake,9.1999999999999993,567400,3262550,584,2.4095068493150684,0.64512602739726022,2.2563898795934833E-3,4.6831160257468207E-3,6.0781753424657534,0.78658739726027405,3.5012944926231951E-3,1.1519302615193015E-2,NA,NA,NA,NA,NA,NA,NA,NA
4,Seitzinger,2006,Canada,Lake,5,936000,2602080,656.47482014388481,3.9747945205479449,1.0642191780821917,2.0072844368863624E-3,4.166100016504375E-3,4.8477106849315073,0.62735079452054798,3.1147515806375947E-3,1.0247571606475719E-2,NA,NA,NA,NA,NA,NA,NA,NA
5,Seitzinger,2006,Canada,Lake,13.3,713800,3040788,1139.5539906103286,3.0312054794520549,0.81158082191780823,1.1563573999480586E-3,2.4000089346985229E-3,5.6650296986301374,0.73312149041095886,1.7943476136631352E-3,5.9034260620417812E-3,NA,NA,NA,NA,NA,NA,NA,NA
6,Seitzinger,2006,Canada,Lake,7.9,321400,668512,1386.2980769230769,1.3648493150684931,0.36542739726027396,9.5053993915026713E-4,1.9728367257829658E-3,1.2454470136986302,0.16117549589041097,1.4749757052468346E-3,4.8526884940965015E-3,NA,NA,NA,NA,NA,NA,NA,NA
7,Seitzinger,2006,Canada,Lake,14.2,571300,3296400.9999999995,898.26689774696729,2.4260684931506846,0.64956027397260274,1.4669712231272555E-3,3.0446850105418761E-3,6.1412402191780808,0.79474873424657522,2.2763345602744597E-3,7.4891691368635226E-3,NA,NA,NA,NA,NA,NA,NA,NA
8,Kelly et al.,1987,NA,Lake,7.1,NA,NA,21.9,NA,NA,3.3137302664308448E-3,3.4369322924338464E-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Kelly et al.,1987,Norway,Lake,2.4,NA,NA,73,NA,NA,6.1135219538139655E-3,7.7054794520547941E-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Kelly et al.,1987,Canada,Lake,12.4,NA,NA,857.75,NA,NA,1.0113676102649059E-3,1.609970715187853E-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Kelly et al.,1987,Canada,Lake,8,NA,NA,1397.95,NA,NA,1.1879761127519947E-3,3.049578235800167E-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Kelly et al.,1987,Canada,Lake,5.7,NA,NA,2117,NA,NA,5.687164876362475E-4,1.1021886317115414E-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,Kelly et al.,1987,Canada,Lake,10.9,NA,NA,2263,NA,NA,9.3692599920463593E-4,3.2405361614376198E-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Kelly et al.,1987,Canada,Lake,5.0999999999999996,NA,NA,3029.5000000000005,NA,NA,1.2913097888853423E-3,1.6174286185839232E-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,Kelly et al.,1987,Canada,Lake,7.1,NA,NA,3175.4999999999995,NA,NA,1.2319392238791199E-3,1.543064084396157E-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,Kelly et al.,1987,USA,Lake,10.6,NA,NA,9125,NA,NA,5.0467618476581822E-4,1.0849315068493142E-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,Tang and Xie,2000,China,Lake,2.2000000000000002,28000000,250000000,89,4046.5753424657532,1605.4794520547946,1.0387061718588395E-2,1.7084020401119754E-2,NA,NA,NA,NA,188.49315068493149,50.684931506849317,1.4757674301741783E-2,3.0549650774369871E-2,NA,NA,NA,NA
18,Tang and Xie,2000,China,Lake,2.2000000000000002,28000000,181720000,124,3219.178082191781,1109.5890410958905,8.5898093505783896E-3,1.5332536837913179E-2,NA,NA,NA,NA,234.52054794520549,48.493150684931514,1.2710650351354137E-2,3.0936759613632202E-2,NA,NA,NA,NA
19,Ahlgren et al.,1994,Sweden,Lake,2.5,6100000,10420000,529.25,53.212054794520554,37.602739726027394,6.5603788713426172E-4,7.8433842439510899E-4,15.341917808219179,5.6487671232876719,1.8878630045110472E-3,3.2422793223636209E-3,2.506849315068493,2.3063013698630135,NA,NA,1.1531506849315067,0.33424657534246577,2.3398662844464208E-3,4.6291922531884752E-3
20,Ahlgren et al.,1994,Sweden,Lake,2.5,6100000,8570000,642.4,43.986849315068497,26.689589041095893,7.7773528055758931E-4,1.0088576728938367E-3,20.656438356164383,2.7241095890410958,3.1536199209384712E-3,1.0247232387748398E-2,NA,NA,NA,NA,0.81890410958904103,0.21726027397260272,2.0654902563030661E-3,4.3107577354152713E-3
21,Ahlgren et al.,1994,Sweden,Lake,2.5,6100000,6840000,806.65,43.569041095890412,21.525479452054796,8.7412075530800563E-4,1.2695324155226756E-3,21.776164383561646,3.0583561643835617,2.4334450186368614E-3,7.5872045859232311E-3,1.4372602739726028,1.2367123287671231,1.8630410097234012E-4,2.0103162730076532E-4,0,0,NA,NA
22,Ahlgren et al.,1994,Sweden,Lake,5.4,2700000,265822.78481012658,240.9,93.131506849315073,79.394794520547947,6.6243146764993158E-4,7.1821417842969605E-4,25.779452054794522,17.568493150684933,1.5918248514980599E-3,1.9400930720325088E-3,4.630684931506849,3.9057534246575338,7.0674174924797463E-4,7.7046932588651154E-4,1.338904109589041,1.8789041095890409,-1.4065472633985503E-3,-1.1930326890956804E-3
23,Ahlgren et al.,1994,Sweden,Lake,5.4,2700000,17570000,295.65000000000003,62.107397260273977,54.133150684931501,4.64800728433525E-4,4.9825133655458911E-4,19.758082191780822,9.0246575342465754,2.6504382728992338E-3,4.0228116431425074E-3,2.6260273972602741,3.6912328767123288,-1.1516600922580849E-3,-9.7607696366858523E-4,0.66575342465753429,1.4498630136986304,-2.632521525115008E-3,-1.8292451430090048E-3
24,Ahlgren et al.,1994,Sweden,Lake,5.4,2700000,13310000,390.55,58.430958904109588,43.140821917808218,7.7679215075131215E-4,9.074993427544678E-4,11.39917808219178,7.6043835616438358,1.0365289701830885E-3,1.2777550565973256E-3,2.1156164383561644,2.6482191780821918,-5.7493579716002467E-4,-5.1495920736334411E-4,0.56219178082191779,1.3906849315068495,-2.319059333103619E-3,-1.5253992596365737E-3
25,Windolf et al.,1996,Denmark,Lake,1.4,NA,NA,18.25,NA,NA,1.3614321057452033E-2,1.5454864769933256E-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,Windolf et al.,1996,Denmark,Lake,1.6,NA,NA,25.55,NA,NA,7.7671600283302665E-3,8.5914753472387945E-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,Windolf et al.,1996,Denmark,Lake,2,NA,NA,29.2,NA,NA,1.0311818246024713E-2,1.203258052573121E-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,Windolf et al.,1996,Denmark,Lake,0.9,NA,NA,36.5,NA,NA,8.2494545968197705E-3,9.626064420584968E-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Windolf et al.,1996,Denmark,Lake,2,NA,NA,51.1,NA,NA,1.60661556178049E-2,2.4906600249066005E-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,Windolf et al.,1996,Denmark,Lake,5.6,NA,NA,178.85,NA,NA,4.7188709549596244E-3,7.4116935719811964E-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,Windolf et al.,1996,Denmark,Lake,3.1,NA,NA,200.75000000000003,NA,NA,3.1625318676760618E-3,4.4173970253060437E-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,Windolf et al.,1996,Denmark,Lake,2.9,NA,NA,251.85,NA,NA,5.05445970146074E-3,1.021015910831277E-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,Windolf et al.,1996,Denmark,Lake,1.2,NA,NA,7.3,NA,NA,1.5963536473418E-2,1.6930891180544846E-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,Windolf et al.,1996,Denmark,Lake,4,NA,NA,14.6,NA,NA,8.7557103773893766E-3,9.3399750933997588E-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,Windolf et al.,1996,Denmark,Lake,1.2,NA,NA,14.6,NA,NA,1.443294735038716E-2,1.6066294605107386E-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,Windolf et al.,1996,Denmark,Lake,1,NA,NA,18.25,NA,NA,1.5037635380918372E-2,1.7303532804614281E-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,Windolf et al.,1996,Denmark,Lake,0.9,NA,NA,18.25,NA,NA,1.2916292247729853E-2,1.456563204439049E-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,Windolf et al.,1996,Denmark,Lake,1.2,NA,NA,29.2,NA,NA,1.63710890733904E-2,2.0989836500220935E-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,Windolf et al.,1996,Denmark,Lake,2.7,NA,NA,62.050000000000004,NA,NA,5.5195859620753582E-3,6.5826060310290443E-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,Windolf et al.,1996,Denmark,Lake,4.5999999999999996,NA,NA,91.25,NA,NA,7.3791183919316786E-3,1.0529143164114961E-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,Noges et al.,1998,Estonia,Lake,2.5,272000000,657000000,400,5712,1632,3.1319074212384202E-3,6.2500000000000003E-3,4080,816,4.0235947810852504E-3,1.0000000000000002E-2,108.8,24.48,3.7291371919442925E-3,8.6111111111111058E-3,89.76,8.16,5.9947381819959265E-3,2.5000000000000026E-2
42,Noges et al.,1998,Estonia,Lake,2.6,276153846.15384614,1332250000,552.30769230769226,14083.846153846154,1104.6153846153845,4.6089006310386718E-3,2.127437325905291E-2,10770,552.30769230769226,5.3781877510314935E-3,3.3495821727019551E-2,546.78461538461522,33.138461538461542,5.075722138131609E-3,2.8064066852367661E-2,439.08461538461546,8.2846153846153854,7.1885508184091349E-3,9.4150417827298077E-2
43,Noges et al.,1998,Estonia,Lake,3.2,290312500,1496500000,546.47058823529414,24095.9375,4064.375,3.2568692926892109E-3,9.018914347224358E-3,12483.4375,1741.875,3.6039279859971609E-3,1.1284535342662359E-2,342.56875000000002,78.384375000000006,2.6988602684437789E-3,6.1675238209145658E-3,229.34687500000001,8.7093749999999996,5.9853826248203986E-3,4.6358091137423778E-2
44,Noges et al.,1998,Estonia,Lake,3.3,299696969.69696969,1222750000,329.66666666666669,10189.69696969697,5993.939393939394,1.6095902458913155E-3,2.1233569261880692E-3,5694.242424242424,2397.5757575757575,2.6238547143173042E-3,4.1708796764408492E-3,155.84242424242424,116.88181818181819,8.7264531582946676E-4,1.0111223458038419E-3,80.918181818181822,23.975757575757576,3.6897734812674208E-3,7.2042467138523766E-3
45,Noges et al.,1998,Estonia,Lake,3.3,302121212.12121212,1423500000,276.94444444444446,8459.3939393939399,3927.5757575757575,2.7704298392870635E-3,4.1663451894143966E-3,5438.181818181818,1812.7272727272727,3.9669049540673965E-3,7.221664994984953E-3,516.62727272727273,217.5272727272727,3.1233608575243496E-3,4.9648946840521561E-3,265.86666666666662,36.254545454545458,7.194331587647684E-3,2.2868605817452356E-2
46,Noges et al.,1998,Estonia,Lake,3.3,296969696.969697,930750000,264.86486486486484,2969.69696969697,5345.454545454546,-2.219194551161062E-3,-1.6780045351473924E-3,1187.878787878788,2078.787878787879,-2.1128351177153713E-3,-1.6180758017492712E-3,148.4848484848485,240.54545454545459,-1.8214048491876362E-3,-1.4449483497102548E-3,68.303030303030312,89.090909090909093,-1.0031650134817555E-3,-8.809523809523807E-4
47,Noges et al.,1998,Estonia,Lake,3,289666666.66666669,784750000,234.86486486486484,869,2896.666666666667,-5.1262363360252755E-3,-2.9804372842347528E-3,289.66666666666669,1158.6666666666667,-5.9025191440087409E-3,-3.1933256616800921E-3,52.14,217.25,-6.0763297075587339E-3,-3.2359033371691603E-3,28.966666666666672,28.966666666666672,0,0
48,Noges et al.,1998,Estonia,Lake,2.7,276296296.2962963,620500000,257.24137931034483,828.88888888888891,2762.962962962963,-4.6803232339748188E-3,-2.7211796246648791E-3,276.2962962962963,276.2962962962963,0,0,30.392592592592596,190.64444444444442,-7.1380865579313366E-3,-3.2676691145044098E-3,16.577777777777776,30.392592592592596,-2.3562919977934524E-3,-1.7669997562758965E-3
49,Noges et al.,1998,Estonia,Lake,2.4,271666666.66666669,529250000,271.66666666666669,815,2173.3333333333335,-3.6104144282640229E-3,-2.3006134969325151E-3,271.66666666666669,271.66666666666669,0,0,38.033333333333346,133.11666666666667,-4.6113974300442985E-3,-2.6292725679228739E-3,24.45,43.466666666666669,-2.1179048278658721E-3,-1.6104294478527605E-3
50,Noges et al.,1998,Estonia,Lake,2.2999999999999998,261304347.82608697,511000000,300.5,1306.5217391304348,1829.1304347826087,-1.1197079421670982E-3,-9.507962918944619E-4,783.91304347826087,261.304347826087,3.6559477160336426E-3,6.6555740432612306E-3,67.939130434782612,164.62173913043478,-2.9452185969053263E-3,-1.9544146000052822E-3,41.80869565217391,47.034782608695657,-3.9195685742556956E-4,-3.6975411351451324E-4
51,Noges et al.,1998,Estonia,Lake,2.2000000000000002,252272727.27272725,438000000,346.875,2018.181818181818,1261.3636363636363,1.3549654176453639E-3,1.7297297297297299E-3,1009.090909090909,252.27272727272725,3.9965242843095945E-3,8.6486486486486488E-3,78.204545454545453,60.54545454545454,7.3782594345859641E-4,8.4084084084084078E-4,47.93181818181818,10.09090909090909,4.4919484484224866E-3,1.0810810810810818E-2
52,Noges et al.,1998,Estonia,Lake,2.1,254285714.28571427,365000000,381.42857142857144,1271.4285714285711,1017.142857142857,5.8502054651665464E-4,6.5543071161048682E-4,1017.142857142857,254.28571428571425,3.6344795984416607E-3,7.8651685393258414E-3,58.48571428571428,40.685714285714283,9.5143762390471128E-4,1.1470037453183519E-3,35.6,10.171428571428571,3.28439729568074E-3,6.5543071161048676E-3
53,Noges et al.,1998,Estonia,Lake,2.7,285555555.55555552,857750000,321.25,5996.6666666666661,2700,2.4838972335690227E-3,3.8007397799875086E-3,3712.2222222222222,856.66666666666652,4.564473365893937E-3,1.0376134889753572E-2,177.04444444444442,128.49999999999997,9.9757788412380361E-4,1.1759619541720718E-3,111.36666666666666,28.55555555555555,4.2365028891380571E-3,9.027237354085605E-3
54,Mengis et al.,1997,Switzerland,Lake,33,5200000,41942880.000000007,1496.4999999999998,594.52054794520552,126.02739726027397,1.0365893465094319E-3,2.484057002571218E-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,Mengis et al.,1997,Switzerland,Lake,84,38300000,227374560.00000003,5146.5,909.58904109589037,115.06849315068493,4.0172259800507534E-4,1.341642262656544E-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,Leavitt et al.,2006,Canada,Lake,6,20200000,172571428.5714286,255.49999999999997,3520.8333333333335,2072.9166666666665,2.0733505704834702E-3,2.7338256841939646E-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,Leavitt et al.,2006,Canada,Lake,9.8000000000000007,12500000,174428571.42857146,255.49999999999997,3781.25,1906.25,2.6806915124204696E-3,3.8497321228064549E-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,Leavitt et al.,2006,Canada,Lake,8.1999999999999993,7700000,157250000,146,3541.6666666666665,1385.4166666666667,6.4287430780031038E-3,1.0660212174271298E-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,Leavitt et al.,2006,Canada,Lake,14.4,16200000,179384615.38461539,474.5,5072.916666666667,1000,3.4223728801153919E-3,8.5835967685282746E-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,Dillon and Molot,1990,Canada,Lake,6.2,NA,NA,365,NA,NA,NA,NA,NA,NA,1.6379095911112887E-3,2.2415940224159402E-3,NA,NA,NA,NA,NA,NA,NA,NA
61,Dillon and Molot,1990,Canada,Lake,8.3000000000000007,NA,NA,1350.5,NA,NA,NA,NA,NA,NA,5.2821169039427235E-4,7.7068961609079033E-4,NA,NA,NA,NA,NA,NA,NA,NA
62,Dillon and Molot,1990,Canada,Lake,3.3,NA,NA,109.5,NA,NA,NA,NA,NA,NA,2.269053509575339E-3,2.5758107949888764E-3,NA,NA,NA,NA,NA,NA,NA,NA
63,Dillon and Molot,1990,Canada,Lake,12.2,NA,NA,328.5,NA,NA,NA,NA,NA,NA,1.0000123804323779E-3,1.1838322340605445E-3,NA,NA,NA,NA,NA,NA,NA,NA
64,Noges et al,2005,Estonia,Lake,3.6,126000,339972.5,535.22449765579813,5.0952380952380958,2.5904761904761902,1.2638896081229873E-3,1.8065536404645328E-3,NA,NA,NA,NA,0.16666666666666666,0.19047619047619049,2.3732414509317259E-3,4.7860761830550843E-3,NA,NA,NA,NA
65,Noges et al,2005,Estonia,Lake,NA,NA,NA,18.011926085765687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9779247815686022E-2,2.3761041864963091E-2,NA,NA,NA,NA
66,Noges et al,2005,Estonia,Lake,NA,NA,NA,25.637786218596663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8587640001847459E-2,2.3812586989710852E-2,NA,NA,NA,NA
67,Noges et al,2005,Estonia,Lake,NA,NA,NA,1361.3403200182952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2846758644378716E-3,3.4878620052411408E-3,NA,NA,NA,NA
68,Noges et al,2005,Estonia,Lake,NA,NA,NA,1717.7261459492242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.123367263908129E-3,3.4272122048644655E-3,NA,NA,NA,NA
69,Moosmann et al,2006,Switzerland,Lake,87,14400000,41764705.882352941,5584.5,NA,NA,NA,NA,NA,NA,NA,NA,17.534246575342465,4.9315068493150687,2.274540179766945E-4,4.5870269868708693E-4,NA,NA,NA,NA
70,Moosmann et al,2006,Switzerland,Lake,87,14400000,41764705.882352941,5584.5,NA,NA,NA,NA,NA,NA,NA,NA,24.38356164383562,11.506849315068495,1.3479084412341367E-4,2.0105782496555706E-4,NA,NA,NA,NA
71,Moosmann et al,2006,Switzerland,Lake,66,5200000,43250000,1460,NA,NA,NA,NA,NA,NA,NA,NA,15.068493150684931,6.8493150684931505,5.4422803560718702E-4,8.3116128890446477E-4,NA,NA,NA,NA
72,Moosmann et al,2006,Switzerland,Lake,66,5200000,43250000,1460,NA,NA,NA,NA,NA,NA,NA,NA,30.684931506849313,18.63013698630137,3.4417393042225267E-4,4.4714945998620861E-4,NA,NA,NA,NA
73,Moosmann et al,2006,Switzerland,Lake,47,10200000,73076923.076923072,1423.5,NA,NA,NA,NA,NA,NA,NA,NA,17.534246575342468,9.3150684931506849,2.1176149656588895E-4,2.4714251559497047E-4,NA,NA,NA,NA
74,Moosmann et al,2006,Switzerland,Lake,47,10200000,73076923.076923072,1423.5,NA,NA,NA,NA,NA,NA,NA,NA,40,29.589041095890412,4.492573339858334E-4,6.2913006320336202E-4,NA,NA,NA,NA
75,Moosmann et al,2006,Switzerland,Lake,35,35000000,28095238.095238093,766.5,NA,NA,NA,NA,NA,NA,NA,NA,4.6575342465753424,1.6438356164383561,6.4550066290734579E-4,8.3513533196786583E-4,NA,NA,NA,NA
76,Moosmann et al,2006,Switzerland,Lake,35,35000000,28095238.095238093,766.5,NA,NA,NA,NA,NA,NA,NA,NA,18.63013698630137,13.424657534246577,1.3809660184099226E-3,2.4554139658439973E-3,NA,NA,NA,NA
77,Moosmann et al,2006,Switzerland,Lake,32,8400000,123333333.33333333,438,NA,NA,NA,NA,NA,NA,NA,NA,29.589041095890412,18.082191780821919,1.1435061318703932E-3,1.4843211456162446E-3,NA,NA,NA,NA
78,Moosmann et al,2006,Switzerland,Lake,32,8400000,123333333.33333333,438,NA,NA,NA,NA,NA,NA,NA,NA,116.98630136986303,106.30136986301369,2.3016129022924132E-4,2.4216251761369602E-4,NA,NA,NA,NA
79,Lang et al,1988,Canada,Lake,3.3,1100000000,166833484710.78171,9.0575342391223472,NA,NA,NA,NA,NA,NA,NA,NA,8797.2602739726026,7586.3013698630139,1.6350605695629388E-2,1.7623385010908571E-2,NA,NA,NA,NA
80,Lang et al,1988,Canada,Lake,3.3,1100000000,166666718945.2356,9.0665971560676528,NA,NA,NA,NA,NA,NA,NA,NA,9567.1232876712329,9054.7945205479446,6.0704323492384261E-3,6.2405924735392942E-3,NA,NA,NA,NA
81,Lang et al,1988,Canada,Lake,3.3,1100000000,166558900524.36023,9.0724662281196586,NA,NA,NA,NA,NA,NA,NA,NA,8931.5068493150684,7890.41095890411,1.3660772949104559E-2,1.4543393287647546E-2,NA,NA,NA,NA
82,Lang et al,1988,Canada,Lake,3.3,1100000000,165121492687.97125,9.1514434335662962,NA,NA,NA,NA,NA,NA,NA,NA,8939.7260273972606,7969.8630136986303,1.2548581973080831E-2,1.3297498229281113E-2,NA,NA,NA,NA
83,Coveny et al,2005,USA,Lake,1.6,135000000,42352941.176470593,1861.4999999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9991426506752685E-4,1.1038841162469412E-3,NA,NA,NA,NA
84,Coveny et al,2005,USA,Lake,NA,NA,NA,1151.2023559293214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5186880544995245E-3,4.1217144234203685E-3,NA,NA,NA,NA
85,Kohler et al,2005,Germany,Lake,4.9000000000000004,7300000,201830400.00000003,58.428944618125634,868.14720000000011,691.2,5.2039284942010733E-4,4.3813901085008565E-3,376.01280000000008,265.42079999999999,5.9612011913726315E-3,7.1311687963881189E-3,NA,NA,5.3765031966700899E-4,5.4618441473202467E-4,NA,NA,NA,NA
86,de Anda et al,2001,Mexico,Lake,4.5,1100000000,794117647.05882359,3722.9999999999995,NA,NA,NA,NA,NA,NA,NA,NA,1953.8177486599166,1362.8755211435378,9.6746832377133784E-5,1.1646509827843005E-4,1363.0887432995833,714.44073853484213,1.7351826097760048E-4,2.438652053031477E-4
87,Kilinc et al,2002,England,Lake,4.8,255000,393000,1360.5130123344081,NA,NA,NA,NA,NA,NA,NA,NA,6183.0999999999995,5475,8.9398254201925067E-5,9.506218033991415E-5,NA,NA,NA,NA
88,Kilinc et al,2002,England,Lake,4.8,255000,231000,2291.0469023816895,NA,NA,NA,NA,NA,NA,NA,NA,9774.7000000000007,9154.1999999999989,2.8626487057129786E-5,2.9586078760945043E-5,NA,NA,NA,NA
89,Kelderman et al.,2005,China,Lake,1.9,2350000000,14550000000,136.89644561651562,NA,NA,NA,NA,NA,NA,NA,NA,5315.0684931506848,2657.5342465753424,5.0632956716907028E-3,7.3047915561027304E-3,NA,NA,NA,NA
90,Kelderman et al.,2005,China,Lake,1.9,2350000000,16629999999.999998,115.69234133679596,NA,NA,NA,NA,NA,NA,NA,NA,4876.7123287671229,2164.3835616438355,7.0215166227835697E-3,1.0831871345000228E-2,NA,NA,NA,NA
91,Kelderman et al.,2005,China,Lake,1.9,2350000000,9580000000,190.93676917904517,NA,NA,NA,NA,NA,NA,NA,NA,4493.1506849315065,1232.8767123287671,6.7729434388890068E-3,1.3849843881901535E-2,NA,NA,NA,NA
92,Gibson et al.,2001,Ireland,Lake,8.9,387000000,2710486183.0110188,464.58454866614636,NA,NA,NA,NA,NA,NA,NA,NA,1394.5205479452054,884.93150684931504,9.7892987322461622E-4,1.239497514160044E-3,NA,NA,NA,NA
93,Krogerus,2003,Finland,Lake,2.2000000000000002,34000000,72798099.164421901,375.03726489253052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1499933455185146E-3,1.4378368987977221E-3,NA,NA,NA,NA
94,Talling and Parker,2002,England,Lake,2.4,610000,10300000,78.455012754652017,NA,NA,NA,NA,20.068493150684933,11.452054794520548,7.1503641216756108E-3,9.5901118115998812E-3,0.44657534246575342,0.30136986301369861,5.0126795115590251E-3,6.1413307435809732E-3,NA,NA,NA,NA
95,Beklioglu et al,1999,England,Lake,0.7,28000,2458024.344254896,2.9104675129523998,NA,NA,NA,NA,6.5506849315068489,2.3150684931506849,0.35737569152456711,0.62862264934220924,2.032876712328767,0.9342465753424658,0.26712779387638502,0.40404267491238544,NA,NA,NA,NA
96,Muller et al,2007,Switzerland,Lake,173,29800000,1993775686.1790884,946.47056490912496,NA,NA,NA,NA,NA,NA,NA,NA,20.82191780821918,3.2876712328767121,1.9502209143456642E-3,5.6349700995143087E-3,NA,NA,NA,NA
97,Schernewski,2003,Germany,Lake,26,1100000,38101336.875698395,273.97988774137087,97.041095890410958,89.506849315068493,2.9498299093399095E-4,3.072308878910958E-4,NA,NA,NA,NA,3.4356164383561643,3.0438356164383564,4.4192269933160204E-4,4.6978948837525557E-4,NA,NA,NA,NA
98,Ekholm et al,1997,Finland,Lake,5.4,154000000,160833600,1095,1452.0547945205481,958.90410958904113,3.7894415713489335E-4,4.6966731898238765E-4,958.90410958904101,49.315068493150683,2.7101017320431916E-3,1.6844241501775766E-2,54.794520547945204,7.9452054794520546,1.7634899877274545E-3,5.3849787435049585E-3,10.95890410958904,3.2876712328767121,1.099518542763412E-3,2.1308980213089797E-3
99,Ekholm et al,1997,Finland,Lake,NA,NA,NA,445.7626936400415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7966854169081019E-3,5.560577012534317E-3,NA,NA,NA,NA
100,Knuuttila and Kauppi,1994,Finland,Lake,3.2,7100000,NA,65.178873939308062,1069.8630136986301,894.79452054794524,2.7415599249193297E-3,3.0017728458338645E-3,816.9863013698631,680.82191780821927,2.7972492584594981E-3,3.0684789090746172E-3,60.301369863013697,44.739726027397261,4.5795971994536319E-3,5.3364850592602028E-3,NA,NA,NA,NA
101,Knuuttila and Kauppi,1994,Finland,Lake,NA,NA,NA,217.54923151749273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9159630898604218E-3,1.2052225627119828E-2,NA,NA,NA,NA
102,Knuuttila and Kauppi,1994,Finland,Lake,2.5,300000,NA,160.27428827025184,8.2191780821917799,4.10958904109589,4.324755942083312E-3,6.2393039506986707E-3,3.2876712328767126,0.98630136986301364,7.5119522745645713E-3,1.455837588496357E-2,0.53424657534246578,0.28767123287671231,3.8623737786463281E-3,5.3479748148845783E-3,NA,NA,NA,NA
103,Burger et al,2007,New Zealand,Lake,10.5,79800000,NA,538.34022454081526,0.52023999999999992,0.22959999999999997,1.5193952482617625E-3,2.3514008443569537E-3,NA,NA,NA,NA,3.3600000000000005E-2,1.6800000000000002E-2,1.2875634198636647E-3,1.8575613606673434E-3,NA,NA,NA,NA
